group,sub_organization,github_org,github_url,display_name,description,website,public_repos,last_push,created,verified,listed_in,attributed_by
IRS,,IrS-GOV,https://github.com/IrS-GOV,IrS-GOV,,,0,,2021-04-28,,search,
IRS,,irs-tax-estimator-calculator,https://github.com/irs-tax-estimator-calculator,:: IRS Tax Estimator Calculator :: Estimate Your Taxes Accurately Online,"use our free IRS tax estimator calculator to quickey estimate your federal tax refund fast and accurate, updated",,1,2025-07-22,2025-07-22,,search,
LBNL,,LBNL-UCB-STI,https://github.com/LBNL-UCB-STI,LBNL/UCB - Sustainable Transportation Initiative,Open source software related to research at the Sustainable Transportation Initiative at Lawrence Berkeley National Lab and UC Berkeley ITS,,52,2026-09-24,2017-03-19,,search,
NASA,,nasa-aiafaball-lists-arc-nasa-gov,https://github.com/nasa-aiafaball-lists-arc-nasa-gov,nasa-aiafaball-lists-arc-nasa-gov,,,1,2024-11-13,2020-11-22,,search,
NCI,,NCI-OBF,https://github.com/NCI-OBF,NCI Office of Budget and Finance,,,0,,2025-09-29,,search,
NETL,,NETL-RIC,https://github.com/NETL-RIC,National Energy Technology Laboratory Research & Innovation Center,,,20,2026-07-20,2017-04-25,,search,
NHLBI,,NHLBI-MR,https://github.com/NHLBI-MR,"NHLBI, NIH","National Heart, Lung and Blood Institute, National Institute of Health",,16,2025-12-08,2014-11-18,,search,
NIH,,NIH-AllofUs,https://github.com/NIH-AllofUs,NIH All of Us,,,0,,2024-09-06,,search,
NIH,,NIH-AllofUs-DTPD,https://github.com/NIH-AllofUs-DTPD,"Division of Technology and Platform Development, All of Us Research Program",,,0,,2024-12-06,,search,
NIH,,NIH-Linton-ams-hhs-gov,https://github.com/NIH-Linton-ams-hhs-gov,NIH-Linton@ams.hhs.gov,,,0,,2026-05-04,,search,
NIH,,NIH-NLM,https://github.com/NIH-NLM,National Library of Medicine,,,32,2026-09-25,2024-06-14,,search,
NOAA,,NOAA-MST,https://github.com/NOAA-MST,NOAA Mission Systems & Technology (MST),NOAA MST is part of the Office of Systems within the NWS.,,3,2026-09-25,2026-06-11,,search,
NOAA,,NOAA-Research-Office-of-Science-Support,https://github.com/NOAA-Research-Office-of-Science-Support,Office of Science Support (OSS) Github,The Office of Science Support (OSS) github for text and NRDD analysis.,,4,2024-01-17,2022-11-22,,search,
NSF,,NSF-Simons-NITMB,https://github.com/NSF-Simons-NITMB,NSF-Simons National Institute for Theory and Mathematics in Biology (NITMB),,,0,,2023-01-28,,search,
PNNL,,pnnl-private,https://github.com/pnnl-private,Pacific Northwest National Laboratory (Private),This Org is intended for the hosting of approved released PNNL software repositories for private collaboration.,,0,,2023-03-07,,search,
PNNL,,PNNL-Project,https://github.com/PNNL-Project,NEU-PNNL-Project,A project developed in collaboration with Pacific Northwest National Laboratory for Northeastern University's CS6510 Advanced Software Development Course.,,7,2021-05-03,2021-04-15,,search,
SSA,,SSA-agency-01,https://github.com/SSA-agency-01,SSA agency 01,,,0,,2026-05-20,,search,
USACE,,USACE-eGIS,https://github.com/USACE-eGIS,US Army Corps of Engineers Enterprise GIS,,,4,2026-09-04,2024-11-20,,search,
USArmy,,USArmy-National-Guard-ARNG,https://github.com/USArmy-National-Guard-ARNG,USArmy-National-Guard-ARNG,,,0,,2021-01-22,,search,
USCensus,,uscensus,https://github.com/uscensus,US census,,,0,,2020-01-31,,search,
USDOT,,usdot-fhwa-flh,https://github.com/usdot-fhwa-flh,US Department Of Transportation - Federal Highway Administration - Office of Federal Lands,"Repos for DB, GIS, and Python Tools",,0,,2022-01-13,,search,
USGS,,usgs-coupled-subtrees,https://github.com/usgs-coupled-subtrees,usgs-coupled-subtrees,Backup of code.chs.usgs.gov:coupled/subtrees,,30,2026-05-14,2021-08-27,,search,
