product_id,csp,cso,status,auth_type,impact_level,service_model,deployment_model,business_function,reported_authorizations,reported_reuses,auth_date,ready_date,independent_assessor,small_business,leveraged_systems,website,service_desc,marketplace_url,source_last_change
F1302201919,Acquia Inc.,Acquia Cloud,FedRAMP Authorized,Agency,Moderate,PaaS,Public Cloud,Content Management System (CMS),27,29,2016-04-13,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",No,SPROUT;Digital Health Research Platform,https://acquia.com,"Acquia provides the leading cloud platform for building, delivering, and optimizing digital experiences. Acquia is the enterprise platform behind Drupal, the leading open-source content management system, recognized as a Magic Quadrant Leader by Gartner two years in a row. Our platform enables agencies to foster greater digital engagement with citizens and securely deliver mission essential information and services with greater speed, agility, and resiliency. The City of LA, State of New York, FEMA, Department of Homeland Security and many other government agencies rely on the Acquia platform to build websites and digital experiences that meet the needs of their citizens, internal users and IT teams while moving their missions forward. These agencies know that a citizen-centric government requires more than simply taking the existing physical structure and making it digital. Today the term ""digital"" has taken on a new meaning. In the private sector, consumers can shop, pay bills, and even conduct banking online, and now they're expecting to conduct government business online in the same way. The most forward-thinking government IT managers are finding ways to meet expectations set by the private sector, and then going above and beyond to serve citizens. With the Acquia Platform governments and agencies can use limited taxpayer dollars efficiently to build sites and experience that meet the needs of IT, deliver on the mission and give citizens crucial information they need.",https://www.fedramp.gov/marketplace/products/F1302201919,2026-09-23
FR2214062312,"Actsoft, Inc",Actsoft Workforce Manager for Gov.,FedRAMP Authorized,Agency,Moderate,SaaS,Government Community Cloud,Construction;Data Management;Fleet Management;Human Resources;Mobile Device Management (MDM),1,0,2025-04-14,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",Yes,,https://www.actsoft.com/government-demo/,"Workforce Manager for Gov is a fully-integrated platform, which facilitates the business needs of a agency with mobile employees. On top of robust features such as Wireless Forms, Timekeeping, Job Dispatching, and GPS Tracking, customers with vehicles can leverage the solution’s fleet components to monitor vehicle activities like stop times, idling, driver behavior, score cards, and telematics. This intuitive, yet flexible solution addresses key market challenges such as ease of use, data collection, mobile resource management, implementation costs, and worker compliance and overall accountability. The synergy of tools in Workforce Manager for Gov brings agencies greater efficiency and productivity gains by automating and streamlining processes that help them save time, reduce labor costs, and lower vehicle-related expenses such as fuel and maintenance. Agencies benefit from an easily deployable solution that provides a significant return on investment. Workforce Manager for Gov is equipped with enterprise-grade workforce management tools that are typically only found in high-priced business applications, making it affordable and accessible to all Government Agencies. This approach provides customers with a solution that delivers relevant information about daily field operations, helping agencies craft new business strategies to save both time and money.",https://www.fedramp.gov/marketplace/products/FR2214062312,2026-09-23
FR2104942200,"Acuant, Inc.","Connect, Ozone, & Facial Recognition System (COFRS)",FedRAMP Authorized,JAB,Moderate,SaaS,Public Cloud,,1,0,2021-11-24,2020-11-30,Kratos,Yes,,https://www.gbg.com/,"Acuant is a leading global provider of identity verification, regulatory compliance (AML/KYC) and digital identity solutions. Acuant's Trusted Identity Platform is powered by AI and human assisted machine learning to deliver unparalleled results and operational efficiency. Acuant Connect, Ozone and Facial Recognition System (COFRS) combines four product lines to fulfill the need to authenticate an individual against an identity document they present to establish a trusted relationship. COFRS is a Software as a Service (SaaS) solution that provides an extremely robust basis for identity proofing. The products together authenticate the physical and digital information protecting the authenticity and integrity of the document, provide an assessment of the degree of match of the individual to the photo(s) stored on the document, and perform presentation attack detection via liveness assessment of the individual performing the transaction. - AssureID Connect SaaS authenticates the physical security features of the document - Ozone eMRTD Authentication SaaS ensures the electronic data is cryptographically intact and digitally bound to a trusted issuing authority - Once the document has been determined to be authentic and unmodified from its initial issuance, Acuant FaceID Government SaaS performs a facial recognition match of the photo(s) from the document with the individual presenting the document - Acuant Passive Liveness SaaS performs presentation attack detection to thwart fraud Document authentication is vital part of confirming the identity of an individual. Authenticating a document requires reviewing the physical document for the presence of known security features;features which are specific to each document type and series from a given issuer. The security features that are found on the presented document then need to be compared against the expected/known security features for the specific document and its issuer. Additionally, with the advent of electronic identity documents, the electronic data stored on the document must be authenticated and validated using Public Key Infrastructure (PKI) components to cryptographically assess the data encoded in the chip of the document and their binding to the Issuer. Finally, to ensure the document belongs to the individual presenting the document, a biometric match comparing the image from the document to the individual should be made, and the liveness of the individual must be determined - especially in remote vetting situations.",https://www.fedramp.gov/marketplace/products/FR2104942200,2026-09-23
FR2616957286,"Adaptive Protocols, Inc. (Adaptiva)",Adaptiva Onesite Platform,FedRAMP Ready,Agency,Moderate,SaaS,Hybrid Cloud,Analytics;Cybersecurity & Risk Management;Mobile Device Management (MDM);Network Management;System Administration,0,0,,2026-04-14,"Prescient Security, LLC.",Yes,,https://adaptiva.com,"The Adaptiva OneSite Platform enables its customers to autonomously manage the distribution of software and patches to endpoints across a customer’s enterprise, within the customer network, or across the Internet. The OneSite Platform consists of four primary components: 1) A customer on-premises server operated and managed by customers that hosts an Adaptiva-developed OneSite application used to manage software distribution to the customer’s endpoints. 2) A content delivery network (CDN) that enables customers to place software in the cloud for retrieval by managed customer endpoints across the Internet. 3) Adaptiva Cloud Services Relay Servers that receive messages from a customer’s on-premises server and managed clients on the Internet. The relay servers facilitate communication between the customer server and the Internet-facing devices. 4) An Operations Manager (OpsMgr) server that is used by Adaptiva to manage OneSite cloud functionality and customer OneSite installation information. The customer on-premises server provides functionality for the customer to manage the distribution of software to their endpoints. The server is owned and operated by the customer. Adaptiva support personnel do not have the ability to access or manage it. Software updates from Adaptiva are installed by the customer. The Adaptiva OneSite Platform CDN is provided by Akamai, a FedRAMP-authorized Infrastructure-as-a-Service (IaaS) solution. The customer on-premises server running the OneSite application communicates with the CDN to upload the customer’s software that is in-turn accessed by the customer’s endpoints through commands conveyed by the relay server. The relay server conveys command messages from a customer on-premises server to customer end points to direct the end points to download and install software. The relay server processes thousands of messages from on-premises servers to tens of thousands of customer endpoints. This server is hosted by DataBank, a FedRAMP-authorized IaaS and Platform-as-a-Service (PaaS) provider. An OpsMgr server is used for activating customer servers to be allowed to use relays for internet clients to obtain metadata and keys. The OpsMgr also receives and stores the messaging statistics for customer server and end points from relay servers. This OpsMgr server is hosted by DataBank.",https://www.fedramp.gov/marketplace/products/FR2616957286,2026-09-23
FR2108360349,Adobe,Adobe Acrobat Sign for Government,FedRAMP Authorized,Agency,Moderate,SaaS,Government Community Cloud,Collaboration;Construction;Finance;Fleet Management;Human Resources;Law Enforcement;Legal & Policy;Marketing & Sales;Operations Management;Travel Management,10,9,2022-05-25,,"Schellman Compliance, LLC",No,,https://www.adobe.com/documentcloud/industries/government.html,"Adobe Acrobat Sign for Government is a security-enhanced instance of Adobe's industry-leading Software as a Service (SaaS) application that lets agencies rapidly replace manual, paper-based approval and signature processes with automated, all-digital workflows. Adobe Acrobat Sign for Government makes employees more productive in the office or working remotely by letting them sign documents, request signatures, and track processes from web and mobile devices - as well as inside applications they use every day. Signers can sign on desktop or mobile devices with no downloads or signups required. Adobe Acrobat Sign for Government capabilities include webforms, batch signing, automated workflows and document templates, multifactor signer authentication, and support for both citizen e-signatures and employee digital signatures (using PIV or CAC cards) in a single process. Adobe Acrobat Sign for Government is purely a web browser application with no mobile application required for use by customers. Additionally, customers can also leverage Adobe Acrobat Sign for Government's APIs for integration with their systems or 3rd-party services to expand their digital signing experiences. Integrations to Adobe Acrobat Sign carried out by an agency, for other Adobe products and 3rd-party cloud services, are considered customer responsibility and not a part of the Adobe Acrobat Sign authorization. Adobe Acrobat Sign for Government is designated for the sole use of U.S. federal, state, local, tribal, and territorial government customers, and U.S. government contractors and partners. Adobe Acrobat Sign is used by the majority of Fortune 100 companies. And, it's Microsoft's preferred e-signature solution. Learn more here. https://www.adobe.com/documentcloud/industries/government.html",https://www.fedramp.gov/marketplace/products/FR2108360349,2026-09-23
FR1832869359,Adobe,Adobe Analytics,FedRAMP Authorized,Agency,LI-SaaS,SaaS,Public Cloud,Analytics;Content Management System (CMS);Customer Service;Education & Training;Marketing & Sales,2,1,2019-09-18,,"Schellman Compliance, LLC",No,,https://business.adobe.com/products/analytics/adobe-analytics.html,"Adobe Analytics provides real-time analytics and actionable insight modeling across customer journeys. Collect data to track, analyze, and optimize engagements across online and offline channels, including in-person, call centers, mail, online, and mobile. Start with award-winning web analytics that ingests targeted website traffic and executes robust reporting and analytics based on customizable configurations. Then bring in all data across channels for a unified view of engagements and the ability to analyze the effectiveness of every touchpoint. Mobile app analytics analyzes the performance of mobile engagements and helps understand how mobile app users engage. An array of functionality is available, including custom dashboards, ad-hoc analytics, Microsoft Excel integration, bulk data import, data enrichment, artificial intelligence (AI)-powered predictive models, advanced data visualizations, tag management, and data integrations between Adobe and select partners. Data can be exported for external purposes or integrated with other Adobe products to enrich existing datasets. Learn more here. https://business.adobe.com/products/analytics/adobe-analytics.html",https://www.fedramp.gov/marketplace/products/FR1832869359,2026-09-23
FR1907354404,Adobe,Adobe Campaign,FedRAMP Authorized,Agency,LI-SaaS,SaaS,Public Cloud,Communication;Customer Relations Management (CRM);Customer Service;Health & Wellness;Human Resources;Marketing & Sales,4,3,2019-09-03,,"Schellman Compliance, LLC",No,,https://business.adobe.com/solutions/industries/government.html,"Adobe Campaign is a Gartner magic quadrant leader for multichannel marketing hubs that allows agencies to centrally configure, manage, and customize marketing campaigns to get the right information to the right people at the right time. Adobe Campaign includes visual campaign orchestration, integrated customer profiles, targeted segmentation, cross-channel execution, real-time interaction management, and operation reporting. Agencies can use it to push important information and content to targeted audiences through email, apps, direct mail, or text messaging to engage with citizens in the way they choose from any device. Adobe Campaign provides centralized workflow management for campaign creation at the federal scale, supported by reporting, to gauge the effectiveness of marketing campaigns. Adobe Campaign runs as a customizable Managed Service that reduces the load on IT resources while ensuring the highest levels of security and customer privacy - Adobe, Inc. is the data custodian, while the agency is the data owner of the custom environment. Learn more here. https://business.adobe.com/products/campaign/adobe-campaign.html",https://www.fedramp.gov/marketplace/products/FR1907354404,2026-09-23
F1509037236,Adobe,Adobe Connect Managed Services (ACMS-GC),FedRAMP Authorized,JAB,Moderate,SaaS,Government Community Cloud,Collaboration;Communication;Design & Multimedia;Development Tools;Education & Training;Marketing & Sales,4,3,2019-06-27,,"Schellman Compliance, LLC",No,,https://business.adobe.com/solutions/industries/government.html,"Adobe Connect is a FedRAMP Moderate Software as a Service (SaaS) running on International Traffic and Arms Regulations (ITAR) compliant IT infrastructure, offering immersive online meeting experiences for real-time collaboration, large-scale webinars, and virtual classrooms in a secure environment. Go beyond screen sharing and web conferencing with customizable pods and layouts, polls, quizzes, drawing boards, simulations, breakout rooms, live video, screen sharing, chat, gamification, telephony integration, and persistent virtual rooms with strong access authentication. Section 508 accessibility, Health Insurance Portability, and Accountability Act of 1996 (HIPAA), Family Educational Rights and Privacy Act (FERPA), and Gramm-Leach Bliley Act (GLBA) compliance make it stand out as a secure and accessible platform adopted by the most regulated industries. Adobe Connect supports both a browser-centric experience and installable applications on desktops and mobile devices with bandwidth management settings to provide the best experience. For real-time situational awareness and common operating picture applications, Adobe Connect delivers a persistent virtual command center environment to scale across federal virtual operation briefings, citizen outreach, and emergency preparedness. Learn more here. https://www.adobe.com/products/adobeconnect.html",https://www.fedramp.gov/marketplace/products/F1509037236,2026-09-23
FR1820435960,Adobe,Adobe Creative Cloud for Enterprise,FedRAMP Authorized,Agency,LI-SaaS,SaaS,Public Cloud,Collaboration;Communication;Content Management System (CMS);Design & Multimedia;Development Tools;Education & Training;Marketing & Sales;Media,10,16,2018-05-14,,"Schellman Compliance, LLC",No,AchieveIt;Adobe Campaign;Adobe Analytics,https://business.adobe.com/solutions/industries/government.html,"Adobe Creative Cloud for Enterprise is a cloud-based offering that allows agencies to use world-class creativity apps to create and collaborate efficiently with connected desktop and mobile apps and the enterprise-grade security that federal agencies require. Adobe Creative Cloud for Enterprise includes 20+ creative tools across graphic design, photography, video, 3D and Augmented Reality, user interface (UI) and user experience (UX), illustration, social media, built-in templates, artificial intelligence (AI) features, cloud services, and business features. Whether developing multichannel content, doing fast photo and digital editing, designing prototypes for mobile experiences, or taking on large-scale video production, Adobe Creative Cloud offers the latest innovations in digital design tools to deliver customizable assets that meet federal agency standards. The Adobe Creative Cloud for Enterprise offers options for flexible deployment, identity management with Federated ID and Single Sign-On (SSO), annual license true-ups, license management tools, and enterprise-level customer support. Learn more here. https://www.adobe.com/creativecloud/business/enterprise.html",https://www.fedramp.gov/marketplace/products/FR1820435960,2026-09-23
FR1820435961,Adobe,"Adobe Document Cloud including Adobe Acrobat, Adobe Acrobat Sign, Adobe Acrobat AI Assistant, Adobe Acrobat Analyzer, and Adobe Acrobat Services (APIs)",FedRAMP Authorized,Agency,LI-SaaS,SaaS,Public Cloud,Collaboration;Construction;Finance;Fleet Management;Human Resources;Law Enforcement;Legal & Policy;Marketing & Sales;Operations Management;Travel Management,9,13,2018-05-14,,"Schellman Compliance, LLC",No,Coupa Spend Management for Federal;Virtual Employee Network (VEN),https://business.adobe.com/solutions/industries/government.html,"Adobe Document Cloud is a digital document modernization solution that integrates Adobe’s pioneering technology with Adobe Acrobat, Adobe Acrobat Sign, Adobe Acrobat AI Assistant, Adobe Acrobat Analyzer, and Acrobat Services automation APIs to deliver 100% digital experiences to employees and constituents. It’s a portfolio of secure solutions that speeds service delivery and drives better constituent experiences by making manual processes fully digital and automated. Desktop, web, and mobile apps can be used standalone or as connected services that are easily integrated into your agency’s existing document processes, business applications, and enterprise systems. Innovative technology and artificial intelligence help agencies deliver modern, mobile-friendly automated document experiences and search-friendly document tagging without the need to reauthor documents from scratch. A list of current in-scope Adobe Document Cloud products and services included in the authorization boundary is available at: Document Cloud Acrobat Reader & User Guide Acrobat Sign Acrobat AI Assistant Acrobat Analyzer Acrobat Services",https://www.fedramp.gov/marketplace/products/FR1820435961,2026-09-23
F1509037239,Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),FedRAMP Authorized,JAB,Moderate,SaaS,Government Community Cloud,Collaboration;Communication;Content Management System (CMS);Customer Relations Management (CRM);Customer Service;Education & Training;Marketing & Sales;Media;Travel Management,6,5,2019-06-27,,"Schellman Compliance, LLC",No,,https://business.adobe.com/solutions/industries/government.html,"Adobe Experience Manager (AEM) is a FedRAMP Moderate Software as a Service (SaaS) enabling the ability to create, manage, and deliver digital experiences across every channel, including web, mobile apps, digital forms and communities, and on-site screens. Forrester ranks Adobe as the leader in agile content management, receiving the highest scores possible for current offerings, strategy, and market presence. This SaaS package includes Adobe Experience Manager Sites, Adobe Experience Manager Assets, and Adobe Experience Manager Forms for web content management, digital asset management, digital enrollment and smart forms, app development and management, and social communities capabilities. Agencies can build, share, and deliver personalized experiences across different channels from the same place and integrate digital enrollment and forms into websites and mobile experiences to streamline transactions. Adobe manages the most complex and mission-critical Adobe Experience Manager deployments all over the world and provides managed service cloud hosting and expert application support, enabling enterprises to concentrate on citizen engagement and digital transformation. Learn more here. https://business.adobe.com/products/experience-manager/adobe-experience-manager.html",https://www.fedramp.gov/marketplace/products/F1509037239,2026-09-23
FR1832870021,Adobe,Adobe Learning Manager,FedRAMP Authorized,Agency,LI-SaaS,SaaS,Public Cloud,Collaboration;Communication;Content Management System (CMS);Design & Multimedia;Education & Training;Human Resources;Legal & Policy,2,7,2019-10-11,,"Schellman Compliance, LLC",No,Knox Systems,https://business.adobe.com/solutions/industries/government.html,"Adobe Learning Manager (formerly Adobe Captivate Prime) is an award-winning cloud-hosted Learning Management System (LMS) that allows enterprise Learning and Development teams to drive personalized learning experiences for employees and partners of their organization across multiple devices. Adobe Learning Manager provides one learning platform to host, deliver, and track all agency education needs, from efficient onboarding to employee reskilling or compliance training at scale. Create customized learning with personalized experiences using training widgets and AI-powered intelligent learning recommendations based on profile data, skill group, peers, and other factors. Extensive APIs and Connectors provide the capability to seamlessly integrate with other enterprise applications like Zoom, LinkedIn, and Workday or bring in user information from HR systems. Adobe Learning Manager provides access to the best-in-class safety and security with Single Sign-On (SSO), 508, and General Data Protection Regulation (GDPR) compliance. With Adobe Learning Manager, agencies can take advantage of world-class streaming, step-by-step onboarding assistance, and 24 x 7 support with a dedicated Customer Success Manager. Learn more here. https://business.adobe.com/products/learning-manager/all-features.html",https://www.fedramp.gov/marketplace/products/FR1832870021,2026-09-23
